,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,predtest,Residual,,
3028,7.4,0.32,0.22,11.7,0.035,44,150,0.99578,3.1,0.45,10.4,5,6.030153987,1.030153987,,
3037,6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,5,5.638443795,0.638443795,,
3039,6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6,6.260828338,0.260828338,,
3042,6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4,6,5.868189054,-0.131810946,,
3043,6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6,5.919129996,-0.080870004,,
3046,5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6,5.949377123,-0.050622877,,
3054,7.6,0.17,0.36,4.5,0.042,26,102,0.99427,3.09,0.47,9.5,5,5.709967024,0.709967024,,
3057,6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,5,6.69881636,1.69881636,,
3059,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5,5.526933116,0.526933116,,
3060,8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6,5.971388935,-0.028611065,,
3068,7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4,5.82868576,1.82868576,,
3069,6.1,0.18,0.38,2.3,0.033,28,111,0.98962,3.16,0.49,12.4,6,6.661808123,0.661808123,,
3071,6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8,6.714176057,-1.285823943,,
3072,6.5,0.36,0.38,10.2,0.028,20,82,0.99274,3.1,0.43,12.1,7,6.338422934,-0.661577066,,
3076,6.4,0.15,0.4,1.5,0.042,23,87,0.98972,3.11,0.46,12.2,7,6.500798974,-0.499201026,,
3082,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5,6.048273153,1.048273153,,
3083,6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,6,6.15889627,0.15889627,,
3086,8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6,6.119556775,0.119556775,,
3087,5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,7,7.005057267,0.005057267,,
3089,6.3,0.37,0.37,1.5,0.024,12,76,0.98876,2.94,0.39,12.3,6,6.040500579,0.040500579,,
3090,6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,7,6.08841027,-0.91158973,,
3091,6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6,6.570253497,0.570253497,,
3093,7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6,6.17757193,0.17757193,,
3107,7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6,6.17757193,0.17757193,,
3109,7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3,5,5.865447723,0.865447723,,
3110,6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4,5.678508608,1.678508608,,
3111,6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,6,6.38624856,0.38624856,,
3113,7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5,5.878127108,0.878127108,,
3115,6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6,6.377990126,0.377990126,,
3116,6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6,6.377990126,0.377990126,,
3118,6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7,6.478230185,-0.521769815,,
3119,5.9,0.28,0.39,1.4,0.031,47,147,0.98836,3.08,0.64,12.9,7,6.79636421,-0.20363579,,
3120,5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5,5.904852642,0.904852642,,
3122,7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5,5.878127108,0.878127108,,
3123,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,6,6.868008965,0.868008965,,
3128,7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,5,5.815942916,0.815942916,,
3137,5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5,6.504907379,1.504907379,,
3140,6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3,6,5.072430896,-0.927569104,,
3141,6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6,5.186318466,-0.813681534,,
3145,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,5.655896349,-0.344103651,,
3146,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,5.655896349,-0.344103651,,
3147,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,5.655896349,-0.344103651,,
3150,7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6,5.831420832,-0.168579168,,
3155,7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6,6.37075346,0.37075346,,
3156,6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7,6.402600801,-0.597399199,,
3162,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5,5.79792208,0.79792208,,
3164,7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7,6.641161119,-0.358838881,,
3171,7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6,6.207902775,0.207902775,,
3172,7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6,6.17748768,0.17748768,,
3173,6.7,0.33,0.36,6.6,0.042,34,116,0.99123,2.97,0.31,12.2,8,6.182136653,-1.817863347,,
3174,6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4,8,6.379843883,-1.620156117,,
3176,7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6,6.13242502,0.13242502,,
3178,5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,5,5.731804974,0.731804974,,
3180,8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4,5.873026146,1.873026146,,
3186,6.5,0.21,0.4,7.3,0.041,49,115,0.99268,3.21,0.43,11,6,6.425194602,0.425194602,,
3188,6.7,0.18,0.37,1.3,0.027,42,125,0.98939,3.24,0.37,12.8,7,6.860732023,-0.139267977,,
3191,5.8,0.28,0.3,1.5,0.026,31,114,0.98952,3.32,0.6,12.5,7,6.676810324,-0.323189676,,
3193,8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6,6.632815378,0.632815378,,
3199,6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7,6.025609688,-0.974390312,,
3203,5.6,0.42,0.34,2.4,0.022,34,97,0.98915,3.22,0.38,12.8,7,6.314890028,-0.685109972,,
3204,6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7,6.025609688,-0.974390312,,
3205,6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1,5,5.391753272,0.391753272,,
3212,8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6,6.547415415,0.547415415,,
3213,6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,5,6.174411094,1.174411094,,
3214,7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,6,6.195780195,0.195780195,,
3217,7.2,0.13,0.46,1.3,0.044,48,111,0.99127,2.97,0.45,11.1,5,6.1778915,1.1778915,,
3218,5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,5.072039419,0.072039419,,
3225,5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6,6.303509173,0.303509173,,
3226,6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,7,6.548903963,-0.451096037,,
3239,7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5,5.455070325,0.455070325,,
3245,6.7,0.21,0.36,8.55,0.02,20,86,0.99146,3.19,0.22,13.4,7,6.920306534,-0.079693466,,
3246,7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5,5.455070325,0.455070325,,
3248,7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,6,6.331044891,0.331044891,,
3252,6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6,5.966023018,-0.033976982,,
3256,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,5.816673327,-0.183326673,,
3260,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,5.816673327,-0.183326673,,
3261,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,5.816673327,-0.183326673,,
3263,7.6,0.19,0.32,18.75,0.047,32,193,1.00014,3.1,0.5,9.3,7,5.919868805,-1.080131195,,
3265,5.9,0.24,0.12,1.4,0.035,60,247,0.99358,3.34,0.44,9.6,6,5.64655151,-0.35344849,,
3273,7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,7,6.291214088,-0.708785912,,
3274,6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,7,6.51585247,-0.48414753,,
3285,8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,6,6.250386343,0.250386343,,
3294,6.8,0.17,0.35,1.8,0.04,29,84,0.98961,2.91,0.57,12,7,6.473747771,-0.526252229,,
3303,6.6,0.24,0.28,6.7,0.032,26,91,0.99172,3.13,0.32,12.3,6,6.465785709,0.465785709,,
3307,6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7,6.631945749,-0.368054251,,
3314,7.3,0.145,0.33,1.1,0.042,14,64,0.99012,3.1,0.37,11.8,7,6.364447453,-0.635552547,,
3321,7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4,5,6.137212243,1.137212243,,
3329,6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,5,6.180304423,1.180304423,,
3332,6.8,0.23,0.32,8.6,0.046,47,159,0.99452,3.08,0.52,10.5,6,6.064489833,0.064489833,,
3333,6.5,0.22,0.28,3.7,0.059,29,151,0.99177,3.23,0.41,12.1,7,6.237799968,-0.762200032,,
3335,6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,6,5.695772277,-0.304227723,,
3336,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,5.490805964,-0.509194036,,
3338,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,5.490805964,-0.509194036,,
3339,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,6.080039733,0.080039733,,
3341,6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6,6.383196668,0.383196668,,
3342,7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6,5.672043376,-0.327956624,,
3343,6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5,6.107140182,1.107140182,,
3345,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,5.490805964,-0.509194036,,
3347,6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6,6.267404501,0.267404501,,
3349,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,6.080039733,0.080039733,,
3350,6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6,6.017398377,0.017398377,,
3351,7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6,6.277020897,0.277020897,,
3352,6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6,6.744731231,0.744731231,,
3353,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,6.339199472,0.339199472,,
3356,5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6,6.606312247,0.606312247,,
3357,6.8,0.2,0.28,12.6,0.048,54,136,0.99556,3.19,0.37,10.7,6,6.348690404,0.348690404,,
3363,7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6,6.277020897,0.277020897,,
3366,7.6,0.2,0.26,4.8,0.033,26,76,0.99076,2.98,0.49,12.3,7,6.683162331,-0.316837669,,
3373,5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,6,6.41736017,0.41736017,,
3375,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,5.67903279,0.67903279,,
3379,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8,6.670435241,-1.329564759,,
3381,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7,6.413566172,-0.586433828,,
3383,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7,6.413566172,-0.586433828,,
3384,6.4,0.22,0.32,4.9,0.046,50,156,0.99316,3.38,0.55,11.2,6,6.373196584,0.373196584,,
3392,6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,8,6.630068459,-1.369931541,,
3393,6.7,0.38,0.26,9.55,0.036,35,91,0.9919,2.98,0.37,12.4,6,6.355078369,0.355078369,,
3395,6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1,5,5.604632925,0.604632925,,
3397,7.4,0.29,0.28,10.2,0.032,43,138,0.9951,3.1,0.47,10.6,6,6.124851161,0.124851161,,
3399,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5,5.569035914,0.569035914,,
3403,7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,6,5.272316273,-0.727683727,,
3404,8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4,5,6.378811919,1.378811919,,
3407,5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6,6.071342507,0.071342507,,
3408,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5,5.569035914,0.569035914,,
3412,6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6,5.910624112,-0.089375888,,
3422,6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,8,6.606667859,-1.393332141,,
3423,6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,8,6.822076253,-1.177923747,,
3425,6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6,6.642131737,0.642131737,,
3428,5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6,6.617313086,0.617313086,,
3434,6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,7,6.708074926,-0.291925074,,
3441,6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5,6.675209535,1.675209535,,
3442,7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,5,6.047687037,1.047687037,,
3444,6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6,6.2804048,0.2804048,,
3445,6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1,5,5.774007706,0.774007706,,
3446,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8,7.045540114,-0.954459886,,
3452,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7,6.385282464,-0.614717536,,
3457,6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5,5.665165521,0.665165521,,
3458,6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,7,6.566243254,-0.433756746,,
3461,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,5.952705223,-0.047294777,,
3464,6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,7,6.614611861,-0.385388139,,
3467,6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,6,6.841628307,0.841628307,,
3468,6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,5,5.344269208,0.344269208,,
3469,6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2,8,6.891413099,-1.108586901,,
3472,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,5.952705223,-0.047294777,,
3485,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8,6.508762864,-1.491237136,,
3490,6.7,0.28,0.31,7.4,0.041,7,81,0.99254,3.04,0.47,11.4,8,6.058498282,-1.941501718,,
3495,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6,6.274206404,0.274206404,,
3497,6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,7,6.517221805,-0.482778195,,
3500,6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7,6.682151703,-0.317848297,,
3507,7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6,6.023664043,0.023664043,,
3508,7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7,6.698963953,-0.301036047,,
3513,6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6,6.414620511,0.414620511,,
3516,6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7,6.604746634,-0.395253366,,
3518,6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7,7,6.836709598,-0.163290402,,
3522,5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,7,6.507144072,-0.492855928,,
3526,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6,6.25141278,0.25141278,,
3528,7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,6,5.70372967,-0.29627033,,
3530,7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,7,6.661430997,-0.338569003,,
3535,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5,5.600415975,0.600415975,,
3536,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5,5.463027321,0.463027321,,
3539,6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,7,6.660722779,-0.339277221,,
3541,7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,6,6.703940701,0.703940701,,
3542,8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,6,6.351351414,0.351351414,,
3545,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6,6.105478476,0.105478476,,
3546,7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,6,6.091245703,0.091245703,,
3550,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6,6.105478476,0.105478476,,
3551,7.2,0.14,0.32,1.1,0.022,48,116,0.99218,3.04,0.67,10,6,6.179228199,0.179228199,,
3553,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,5.788686552,-0.211313448,,
3554,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,5.788686552,-0.211313448,,
3556,5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6,5.91073297,-0.08926703,,
3558,8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6,6.269266812,0.269266812,,
3571,6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6,6.294857509,0.294857509,,
3574,7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6,6.228703135,0.228703135,,
3577,7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5,6.213776426,1.213776426,,
3578,7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,7,6.316390123,-0.683609877,,
3585,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7,6.1893733,-0.8106267,,
3586,7,0.24,0.35,1,0.032,42,104,0.98988,3.16,0.37,11.7,7,6.402822295,-0.597177705,,
3596,7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,7,6.6974153,-0.3025847,,
3597,6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,7,6.63223593,-0.36776407,,
3601,6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,6,6.108769581,0.108769581,,
3602,6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,7,5.809046153,-1.190953847,,
3603,6.6,0.26,0.24,7.2,0.038,28,137,0.9952,3.35,0.6,10.4,6,5.986398654,-0.013601346,,
3605,7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6,6.33790686,0.33790686,,
3615,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5,5.169754088,0.169754088,,
3623,7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6,6.316520701,0.316520701,,
3631,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,5.834978091,-0.165021909,,
3659,5.8,0.275,0.3,5.4,0.043,41,149,0.9926,3.33,0.42,10.8,7,6.073331471,-0.926668529,,
3661,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8,6.801313215,-1.198686785,,
3675,6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,5,5.251685572,0.251685572,,
3677,5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7,6.858414945,-0.141585055,,
3683,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7,6.425626966,-0.574373034,,
3689,7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5,6,6.751095787,0.751095787,,
3690,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8,6.757796546,-1.242203454,,
3691,5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7,6.428302213,-0.571697787,,
3692,7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,6,6.37405418,0.37405418,,
3704,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,5.426811825,-0.573188175,,
3705,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,5.426811825,-0.573188175,,
3706,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,5.426811825,-0.573188175,,
3707,6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,6,6.482915805,0.482915805,,
3708,6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,6,6.295964158,0.295964158,,
3716,6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,6,5.254150508,-0.745849492,,
3717,6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,5,5.921198261,0.921198261,,
3718,6.3,0.18,0.24,3.4,0.053,20,119,0.99373,3.11,0.52,9.2,6,5.426738438,-0.573261562,,
3732,7,0.34,0.26,10.3,0.041,51,166,0.99382,3.08,0.35,11.6,6,6.238513628,0.238513628,,
3733,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5,5.62515075,0.62515075,,
3734,6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6,6.94917157,0.94917157,,
3743,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,5.637353223,-1.362646777,,
3744,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,5.637353223,-1.362646777,,
3746,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,5.637353223,-1.362646777,,
3750,6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,6,6.276701558,0.276701558,,
3752,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,5.79965805,0.79965805,,
3756,7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6,6.544770209,0.544770209,,
3757,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,5.79965805,0.79965805,,
3760,7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6,6.544770209,0.544770209,,
3761,7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,6,6.382758411,0.382758411,,
3768,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5,5.542906407,0.542906407,,
3773,6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6,6.300123657,0.300123657,,
3775,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5,5.625427907,0.625427907,,
3777,6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5,6.472698154,1.472698154,,
3778,6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6,6.547895153,0.547895153,,
3781,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5,5.625427907,0.625427907,,
3783,7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,6,6.20030701,0.20030701,,
3787,7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8,5,5.42990562,0.42990562,,
3790,6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6,5.669786525,-0.330213475,,
3792,6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5,5.616443089,0.616443089,,
3795,5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,5,5.511585827,0.511585827,,
3796,6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6,6.038661353,0.038661353,,
3797,6.6,0.13,0.29,13.9,0.056,33,95,0.99702,3.17,0.39,9.4,6,5.958983805,-0.041016195,,
3801,8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5,5.924106492,0.924106492,,
3815,7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3,5,5.836460113,0.836460113,,
3817,6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5,5.486425775,0.486425775,,
3818,6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6,6.056073625,0.056073625,,
3820,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,6.224750664,0.224750664,,
